site,kind,mutates,guard,note
"WRAPPER::Entity.SoilingAtmosphere","none","no","","Virtual property forwarding WorldAtmosphere (Entity.cs:605)."
"WRAPPER::RoadFlare.GetBurningAtmosphere","none","no","","Returns parent internal or WorldAtmosphere, which can still be the read-only copy below Armstrong."
"WRAPPER::DynamicScrubber.GetFromCell","none","no","","Stores a sampled neighbour atmosphere into WorldAtmosphere (lines 199, 207), later written to by ReleaseToAtmos."
"WRAPPER::DynamicThing.Smelt","none","no","","Not a return but a hand-off: ArcFurnace.WaitThenSmelt and GasCanister.Recycle pass a sampled atmosphere into the virtual Smelt(Atmosphere, ReagentMixture) chain; every override must keep its IsGlobalAtmosphere guard."
"CONSTANT::PlanetaryAtmosphereSimulation.SpaceHeight","none","no","","1000 m (_spaceGridHeight = 10000 grid units): no clone gas above it; RocketEngineBase hardcodes the same 10000 for discarding exhaust."
"CONSTANT::Chemistry.GridVolume","none","no","","8000 L outdoor cell; every clone debits GridVolume / tank.Volume of the tank, so the per-cell debit in mol is unchanged when tank volume is x0.05 but is 20x larger as a share of the tank."
"CONSTANT::Chemistry.ArmstrongLimit","none","no","","6.3 kPa absolute: gates device waste heat (Device.OnAtmosphericTick), portable AC, scrubber heat, road flare, furnace explode."
"CONSTANT::Chemistry.OneAtmosphere","none","no","","101.325 kPa absolute: ActiveVent default external target, Pipe.LeakMix mode switch, PipeLeak emit threshold, IndustrialBurner chimney rate map."
"CONSTANT::Chemistry.MINIMUM_WORLD_VALID_TOTAL_MOLES","none","no","","0.1 mol per cell: IsActive() / HasAtmosphere threshold for outdoor air."
"CONSTANT::Thing.MinimumIgnitionPressurePropane","none","no","","1.5 kPa absolute minimum outdoor gas pressure for things to burn."
"CONSTANT::Chemistry.PressureFullyApplyVelocity","none","no","","90 kPa absolute: wind push on dynamic things."
"CONSTANT::DynamicAirConditioner.MINCoolingTemp","none","no","","263.15 K absolute outdoor limit; MAXHeatingTemp 323.15 K likewise."
"CONSTANT::TerraForming.DAYS_TO_GERMINATE","none","no","","30 days, global vegetation (GlobalPlants) germination."
"CONSTANT::AtmosphericAudioHandler.MinimumLocalAtmosPressure","none","no","","1 kPa absolute for wind audio; GameAudioSource.AtmosAudioVolumeThreshold 3 kPa likewise (display only)."
